status,row_count,plant,machine,folder,run_type,matched_running_speed_key,matched_speed,raw_example,complexities_example
MISSING_MACHINE_FOLDER_OR_RUNTYPE,60,Trivandrum,Citiline,F1,SNP,,0,"('Trivandrum', 'Citiline', 'F1')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,560,Bommasandra,Regioman-B,Folder D,SNP,,0,"('Bommasandra', 'Regioman-B', 'Folder D')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,242,Vejalpur,Cityline-1,F1,SNP,,0,"('Vejalpur', 'Cityline-1', 'F1')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,188,Chinhat,Hiline-1,Folder 2,SNP,,0,"('Chinhat', 'Hiline-1', 'Folder 2')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,172,Saltlake,Regioman,Folder A,SNP,,0,"('Saltlake', 'Regioman', 'Folder A')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,163,Butibori,HILINE,JF-1,SNP,,0,"('Butibori', 'Hiline', 'JF-1')",C2-Standard Pagination (SNP) + Multiple Innovations
MISSING_PLANT_IN_RUNNING_SPEED,159,Bommasandra,Regioman-A,Folder A,SNP,,0,"('Bommasandra', 'Regioman-A', 'Folder A')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,153,Bommasandra,Regioman-B,Folder C,SNP,,0,"('Bommasandra', 'Regioman-B', 'Folder C')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,140,Bhosari,Regioman,Folder 4,SNP,,0,"('Bhosari', 'Regioman', 'Folder 4')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,123,Chemmencherry,Regioman,Folder 1,SNP,,0,"('Chemmencherry', 'Regioman', 'Folder 1')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,116,Bhosari,Regioman,Folder 3,SNP,,0,"('Bhosari', 'Regioman', 'Folder 3')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,114,Chinhat,Hiline-2,Folder 3,SNP,,0,"('Chinhat', 'Hiline-2', 'Folder 3')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,106,Saltlake,Cromoman,Folder D,SNP,,0,"('Saltlake', 'Cromoman', 'Folder D')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,93,Nacharam,Hiline-2,Folder 3,SNP,,0,"('Nacharam', 'Hiline-2', 'Folder 3')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,88,Vejalpur,HILINE,HL - Folder 1,SNP,,0,"('Vejalpur', 'Hiline', 'HL - Folder 1')",C1-Standard Pagination (SNP)
MISSING_PLANT_IN_RUNNING_SPEED,78,Saltlake,Cromoman,Folder C,SNP,,0,"('Saltlake', 'Cromoman', 'Folder C')",C1-Standard Pagination (SNP)
