issue_date,issue_id,raw_plant,raw_machine,raw_folder,canonical_plant,canonical_machine,canonical_folder,complexities,mapped_run_type,failure_status,closest_running_speed_key,avg_speed
2026-04-01,69cbd195905168b2d76916b3,Sahibabad,Colorman-D,COLOR  F,Sahibabad,Colorman-D,COLOR  F,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-D / COLORF / SNP,47618.18
2026-04-01,69cbd276607eaeb3b7f7a84c,Sahibabad,Colorman-D,COLOR  G,Sahibabad,Colorman-D,COLOR  G,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-D / COLORG / SNP,45457.89
2026-04-01,69cbd276607eaeb3b7f7a84c,Sahibabad,Colorman-D,COLOR  G,Sahibabad,Colorman-D,COLOR  G,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-D / COLORG / SNP,45457.89
2026-04-01,69cbd3b1501608b22d4b8beb,Sahibabad,Colorman-D,COLOR  G,Sahibabad,Colorman-D,COLOR  G,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-D / COLORG / SNP,58890.91
2026-04-01,69cbd3b1501608b22d4b8beb,Sahibabad,Colorman-D,COLOR  G,Sahibabad,Colorman-D,COLOR  G,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-D / COLORG / SNP,58890.91
2026-04-01,69cbd69d8d8c95b33e2279bd,Sahibabad,Geoman-B,GEOMAN B,Sahibabad,Geoman-B,GEOMAN B,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Geoman-B / GEOMANB / SNP,104755.1
2026-04-01,69cbd9d93bf083b294009e99,Sahibabad,Colorman-C,COLOR  D,Sahibabad,Colorman-C,COLOR  D,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-C / COLORD / SNP,50626.09
2026-04-01,69cbd9d93bf083b294009e99,Sahibabad,Colorman-C,COLOR  D,Sahibabad,Colorman-C,COLOR  D,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-C / COLORD / SNP,50626.09
2026-04-01,69cbdafa5e6b8db345ddfe68,Sahibabad,Colorman-C,COLOR  D,Sahibabad,Colorman-C,COLOR  D,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-C / COLORD / SNP,54494.68
2026-04-01,69cbdafa5e6b8db345ddfe68,Sahibabad,Colorman-C,COLOR  D,Sahibabad,Colorman-C,COLOR  D,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-C / COLORD / SNP,54494.68
2026-04-01,69cbdbf9e40e85b2b1023108,Sahibabad,Colorman-C,COLOR  E,Sahibabad,Colorman-C,COLOR  E,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-C / COLORE / SNP,48557.14
2026-04-01,69cbdfb31a03bcb32c68fc38,Sahibabad,Colorman-D,COLOR  G,Sahibabad,Colorman-D,COLOR  G,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-D / COLORG / SNP,39322.5
2026-04-01,69cbe25e8dd832b2a66356e3,Vejalpur,Cityline-1,F1,Vejalpur,Cityline-1,F1,C1-Standard Pagination (SNP),SNP,IN_EXPORT_TEMPLATE_NO_RUNNING_SPEED,,27300.0
2026-04-01,69cbe4f4399baeb44a1eb6ab,Sahibabad,Colorman-D,COLOR  G,Sahibabad,Colorman-D,COLOR  G,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-D / COLORG / SNP,59765.22
2026-04-01,69cbe4f4399baeb44a1eb6ab,Sahibabad,Colorman-D,COLOR  G,Sahibabad,Colorman-D,COLOR  G,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Sahibabad / Colorman-D / COLORG / SNP,59765.22
2026-04-01,69cbeb7f564831b24ee33ff7,Bommasandra,Regioman-B,Folder D,Bommasandra,Regioman-B,Folder D,C1-Standard Pagination (SNP),SNP,IN_EXPORT_TEMPLATE_NO_RUNNING_SPEED,,24007.5
2026-04-01,69cbefcd8d8c95b33e22922d,Bhosari,Regioman,Folder 4,Bhosari,Regioman,Folder 4,C1-Standard Pagination (SNP),SNP,IN_EXPORT_TEMPLATE_NO_RUNNING_SPEED,,41755.0
2026-04-01,69cbf13d24e022b40d90700f,Kandivali,Colorman-B,COLOR  B,Kandivali,Colorman-B,COLOR  B,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Kandivali / Colorman-B / COLORB / SNP,118415.09
2026-04-01,69cbf13d24e022b40d90700f,Kandivali,Colorman-B,COLOR  B,Kandivali,Colorman-B,COLOR  B,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Kandivali / Colorman-B / COLORB / SNP,118415.09
2026-04-01,69cbf7b664ce92b25007fc86,Kandivali,Colorman-B,COLOR  B,Kandivali,Colorman-B,COLOR  B,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Kandivali / Colorman-B / COLORB / SNP,131055.56
2026-04-01,69cbf893ee531db3e83e171b,Kandivali,Colorman-D,COLOR  D,Kandivali,Colorman-D,COLOR  D,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Kandivali / Colorman-D / COLORD / SNP,99337.75
2026-04-01,69cbf8d21398c4b4341c2c95,Kandivali,Colorman-D,COLOR  D,Kandivali,Colorman-D,COLOR  D,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Kandivali / Colorman-D / COLORD / SNP,46695.65
2026-04-01,69cbf98d015986b3f5f97f38,Kandivali,Colorman-B,COLOR  B,Kandivali,Colorman-B,COLOR  B,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Kandivali / Colorman-B / COLORB / SNP,50280.0
2026-04-01,69cc218c052b12b278511981,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,24500.0
2026-04-01,69cc299fccd399b289b03a66,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,28320.0
2026-04-01,69cc29cb3bf083b29400de6f,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,27270.0
2026-04-01,69cc2a296ff250b4679c794c,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,15600.0
2026-04-01,69cc2a7a564831b24ee3720b,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,27540.0
2026-04-01,69cc2b06ea8366b4be06f01b,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,26104.29
2026-04-01,69cc2b06ea8366b4be06f01b,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,26104.29
2026-04-01,69cc2e8fd43b52b4a9159025,Chemmencherry,Regioman,Folder 2,Chemmencherry,Regioman,Folder 2,C1-Standard Pagination (SNP),SNP,IN_EXPORT_TEMPLATE_NO_RUNNING_SPEED,,49758.46
2026-04-01,69cc2e8fd43b52b4a9159025,Chemmencherry,Regioman,Folder 2,Chemmencherry,Regioman,Folder 2,C1-Standard Pagination (SNP),SNP,IN_EXPORT_TEMPLATE_NO_RUNNING_SPEED,,49758.46
2026-04-01,69cc300e33ce73b39de3864e,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,23076.19
2026-04-01,69cc300e33ce73b39de3864e,Baroda,Hiline,Folder-1,Baroda,HILINE,Folder-1,C1-Standard Pagination (SNP),SNP,NAMING_MISMATCH_ONLY,Baroda / Hiline / Folder-1 / SNP,23076.19
2026-04-01,69cc3376afcd07b42dda7ca0,Chemmencherry,Regioman,Folder 1,Chemmencherry,Regioman,Folder 1,C1-Standard Pagination (SNP),SNP,IN_EXPORT_TEMPLATE_NO_RUNNING_SPEED,,94823.53
2026-04-01,69cc33a92af7a2b26c82aed3,Chemmencherry,Regioman,Folder 1,Chemmencherry,Regioman,Folder 1,C1-Standard Pagination (SNP),SNP,IN_EXPORT_TEMPLATE_NO_RUNNING_SPEED,,53884.62
2026-04-01,69cc33a92af7a2b26c82aed3,Chemmencherry,Regioman,Folder 1,Chemmencherry,Regioman,Folder 1,C1-Standard Pagination (SNP),SNP,IN_EXPORT_TEMPLATE_NO_RUNNING_SPEED,,53884.62
